Ex_date,Ticker,Company,Payment_per_year,Dividend,Yield,Announced,Record,Payable
2023-05-25,GOGL,Golden Ocean Group,4,0.1,0.0468384074941452,2023-05-16,2023-05-26,2023-06-06
2023-05-25,VTYB,Victory Bancorp,4,0.065,0.0209508460918614,2023-05-17,2023-05-27,2023-06-14
2023-05-25,CNAF,Comml National Finl,4,0.26,0.1061224489795918,2023-05-16,2023-05-26,2023-06-02
2023-05-25,FBIN,Fortune Brands,4,0.23,0.0140009131030285,2023-05-16,2023-05-26,2023-06-14
2023-05-25,DAC,Danaos,4,0.75,0.0530222693531283,2023-05-15,2023-05-26,2023-06-07
2023-05-25,JKHY,Jack Henry & Associates,4,0.52,0.0133495924523458,2023-05-15,2023-05-26,2023-06-15
2023-05-25,FXNC,First Ntl,4,0.15,0.0421052631578947,2023-05-10,2023-05-26,2023-06-09
2023-05-25,CGAU,Centerra Gold,4,0.07,0.0311457174638487,2023-05-15,2023-05-29,2023-06-12
2023-05-25,PSEC,Prospect Capital,12,0.06,0.1063515509601182,2023-04-28,2023-05-26,2023-06-21
2023-05-25,VMC,Vulcan Materials,4,0.43,0.0088282092080275,2023-05-12,2023-05-26,2023-06-09
2023-05-25,CRD/B,Crawford & Company Common Stock,4,0.06,0.0282685512367491,2023-05-12,2023-05-26,2023-06-09
2023-05-25,CRD/A,Crawford & Company Common Stock,4,0.06,0.0251046025104603,2023-05-12,2023-05-26,2023-06-09
2023-05-25,MAR,Marriott Intl,4,0.52,0.011920453894206,2023-05-12,2023-05-26,2023-06-30
2023-05-25,HRI,Herc Hldgs,4,0.6325,0.025317722405684,2023-05-12,2023-05-26,2023-06-09
2023-05-25,EMBC,Embecta,4,0.15,0.020746887966805,2023-05-12,2023-05-29,2023-06-13
2023-05-25,AVA,Avista,4,0.46,0.0414041404140414,2023-05-11,2023-05-26,2023-06-15
2023-05-25,MAS,Masco,4,0.285,0.021412471825695,2023-05-11,2023-05-26,2023-06-12
2023-05-25,MATV,Mativ Holdings,4,0.4,0.0965600482800241,2023-05-10,2023-05-26,2023-06-23
2023-05-25,IP,International Paper,4,0.4625,0.0571340333539222,2023-05-09,2023-05-26,2023-06-15
2023-05-25,NBHC,National Bank Holdings,4,0.26,0.0369318181818182,2023-05-09,2023-05-26,2023-06-15
2023-05-25,CBT,Cabot,4,0.4,0.0224340998317443,2023-05-08,2023-05-26,2023-06-09
2023-05-25,CTRA,Coterra Energy,4,0.2,0.0329082682023858,2023-05-03,2023-05-26,2023-06-09
2023-05-25,KOP,Koppers Hldgs,4,0.06,0.0074906367041199,2023-05-04,2023-05-26,2023-06-12
2023-05-25,PWP,Perella Weinberg,4,0.07,0.0391608391608392,2023-05-04,2023-05-26,2023-06-09
2023-05-25,USLM,United States Lime,4,0.2,0.0049495761925385,2023-05-03,2023-05-26,2023-06-16
2023-05-25,NUS,Nu Skin Enterprises,4,0.39,0.039136979427998,2023-05-03,2023-05-26,2023-06-07
2023-05-25,SPGI,S&P Global,4,0.9,0.0101117914723892,2023-05-03,2023-05-26,2023-06-12
2023-05-25,HII,Huntington Ingalls Indus,4,1.24,0.0245350217649387,2023-05-02,2023-05-26,2023-06-09
2023-05-25,WEYS,Weyco Group,4,0.25,0.0377073906485671,2023-05-02,2023-05-26,2023-06-30
2023-05-25,PDM,Piedmont Office Realty,4,0.21,0.1290322580645161,2023-05-01,2023-05-26,2023-06-16
2023-05-25,SBAC,SBA Comms,4,0.85,0.0130323124688566,2023-05-01,2023-05-26,2023-06-21
2023-05-25,BMI,Badger Meter,4,0.225,0.0067755778062185,2023-04-28,2023-05-26,2023-06-09
2023-05-25,J,Jacobs Solutions,4,0.26,0.0092313154624534,2023-04-27,2023-05-26,2023-06-23
2023-05-25,STRA,Strategic Education,4,0.6,0.025974025974026,2023-04-27,2023-05-26,2023-06-05
2023-05-25,RS,Reliance Steel & Aluminum,4,1.0,0.0160057620743468,2023-04-25,2023-05-26,2023-06-09
2023-05-25,EVR,Evercore,4,0.76,0.0248772504091653,2023-04-25,2023-05-26,2023-06-09
2023-05-25,SMG,Scotts Miracle Gro,4,0.66,0.0372828696511792,2023-04-24,2023-05-26,2023-06-09
2023-05-25,FTV,Fortive,4,0.07,0.0043269973728945,2023-04-06,2023-05-26,2023-06-30
